Following data is valid as of 20231231235959 (Year/Month/Day/Hour/Minute/Second)


First Bank Card,Transaction Type,Date Posted, Transaction Amount,Description


'F4K30C4RD0NUMB3R',DEBIT,20230103,-97.52,ACME TOOLS POS
'F4K30C4RD0NUMB3R',DEBIT,20230103,-22.03,BURGERS R' US POS
'F4K30C4RD0NUMB3R',CREDIT,20230105,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230106,-45.20,PAPERBACK PARADISE BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230107,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230108,-15.75,VILLAGE COFFEE SHOP
'F4K30C4RD0NUMB3R',DEBIT,20230115,-33.75,TECH HORIZONS ELECTRONICS
'F4K30C4RD0NUMB3R',CREDIT,20230118,2500.00,CHICKAPEE HEDGE FUND DIVIDENDS
'F4K30C4RD0NUMB3R',DEBIT,20230118,-19.99,FRESH HARVEST GROCERY
'F4K30C4RD0NUMB3R',CREDIT,20230119,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',CREDIT,20230120,501.50,ECLECTIC EXCHANGE RETURNS
'F4K30C4RD0NUMB3R',DEBIT,20230121,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230122,-55.30,THREADS & TRENDS BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230125,-12.50,QUICK BITE EXPRESS
'F4K30C4RD0NUMB3R',DEBIT,20230127,-50.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230201,-40.25,CINEMAGIC MOVIE THEATRE
'F4K30C4RD0NUMB3R',CREDIT,20230202,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230205,-75.80,TOOL MASTER HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230210,-22.50,BOOKLOVERS HAVEN
'F4K30C4RD0NUMB3R',DEBIT,20230215,-28.90,SNAP ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230214,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',CREDIT,20230216,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230218,-16.75,ORGANIC DELIGHTS MARKET
'F4K30C4RD0NUMB3R',DEBIT,20240221,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230222,-49.99,FASHION FUSION BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230225,-9.25,SIZZLE N' GRILL
'F4K30C4RD0NUMB3R',CREDIT,20230302,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230303,-35.50,CINEMAGIC MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20230304,-40.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230306,-62.40,TOOLBOX SOLUTIONS HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230309,-25.75,LOYALTY MEMORIES CENTER
